material_id,formula,composition,symmetry,a,b,c,alpha,beta,gamma,num_atoms,crystal_system
mp-1245019,Fe2O3,Fe32 O48,P1,9.256092057898138,10.281263521524336,10.88277649521031,86.61346245400564,98.21484333287647,88.0423396840657,80,triclinic
mp-1245078,Fe2O3,Fe32 O48,P1,10.022169212903263,10.81936465016819,9.821237955810002,90.87513816967355,93.3126395443452,95.46998238063937,80,triclinic
mp-1245084,Fe2O3,Fe32 O48,P1,10.68395233909859,9.802784113580689,10.670256069318206,96.54510608027773,91.4488892559167,101.08004957519307,80,triclinic
mp-1245154,Fe2O3,Fe32 O48,P1,10.329602061632917,10.335185292968339,10.037996519193559,85.59534356964038,83.42412517726588,84.45694404321854,80,triclinic
mp-1245277,Fe2O3,Fe32 O48,P1,10.266272932957607,10.232950297966273,10.387775044188722,90.44555305087619,93.12564457180335,87.33796388485554,80,triclinic
mp-1356129,Fe2O3,Fe16 O24,C2,8.233473765526918,8.233473765526918,9.492212841434025,54.80432634505185,54.80432634505185,70.17763753567169,40,monoclinic
mp-1378486,Fe2O3,Fe8 O12,Cmcm,5.179549503791328,5.179549503791328,15.917065,90.0,90.0,146.10755452983759,20,orthorhombic
mp-1456,Fe2O3,Fe64 O96,P4_12_12,8.525216,8.525216,25.593016,90.0,90.0,90.0,160,tetragonal
mp-19770,Fe2O3,Fe4 O6,R-3c,5.0918936441581,5.452029995907517,5.091910452974928,62.16260543536898,119.98513390956242,117.83716377417755,10,trigonal
mp-510080,Fe2O3,Fe8 O12,Pbcn,5.172711,5.324735,7.524441,90.0,90.0,90.0,20,orthorhombic
mp-542896,Fe2O3,Fe16 O24,Pna2_1,5.215337,8.952474,9.595519,90.0,90.0,90.0,40,orthorhombic
mp-557546,Fe2O3,Fe12 O18,P3,5.435364603779584,5.435364603779584,15.040001,90.0,90.0,120.00000734922824,30,trigonal
mp-565814,Fe2O3,Fe16 O24,Ia-3,8.275837485460128,8.275837485460128,8.275837485460128,109.47122063449069,109.47122063449069,109.47122063449069,40,cubic
mp-685153,Fe2O3,Fe64 O96,P1,8.476291869598263,8.45637822757466,25.290790949373434,89.99913363617974,90.06765391112022,90.00874697832552,160,triclinic
mp-705547,Fe2O3,Fe16 O24,Cm,5.990346283276953,5.990346283276953,14.609223792980824,89.55343777646169,89.55343777646169,60.1934999041342,40,monoclinic
mp-715276,Fe2O3,Fe8 O12,P1,5.144665098551508,5.288384354211597,7.511417450051223,89.69688019155932,90.16386297912857,90.123847639067,20,triclinic
mp-715572,Fe2O3,Fe16 O24,P1,8.094708278607873,8.097404311796073,8.09084062641741,71.21244635735185,109.58068466524898,70.11662548626576,40,triclinic
mp-716814,Fe2O3,Fe12 O18,P3,5.387527903351592,5.387527903351592,14.810113,90.0,90.0,119.99999881314635,30,trigonal
mp-776606,Fe2O3,Fe16 O24,P1,5.142575,5.383258536855257,14.90158229174704,89.60904208723183,89.98588135807445,89.83420866807027,40,triclinic
mp-1079918,CaCO3,Ca2 C2 O6,P-1,3.8333788262494353,5.029813997053951,6.523390069641564,95.8906244655044,106.06120311891681,90.33384170866442,10,triclinic
mp-1188902,CaCO3,Ca4 C4 O12,P-1,6.20672572330252,6.436406302901548,6.431665878653726,93.83778905094299,106.71866540764897,106.17507621803857,20,triclinic
mp-1194399,CaCO3,Ca6 C6 O18,C2/c,7.125381870133418,7.125381870133418,9.413902438933343,68.34036705268743,68.34036705268743,60.54706716276775,30,monoclinic
mp-1197230,CaCO3,Ca10 C10 O30,P-1,6.393639,7.697011567623178,12.741713044671897,93.770954714076,98.92079030867379,106.22137434869701,50,triclinic
mp-1197939,CaCO3,Ca18 C18 O54,P-1,7.228084,7.263453560252245,26.00444062290602,82.20230341184903,82.3513248358097,60.19834816104551,90,triclinic
mp-2717324,CaCO3,Ca3 C3 O9,C2,4.997993421622983,4.997993421622983,8.595774497887527,89.51617990848233,89.51617990848233,59.76450851658271,15,monoclinic
mp-3205,CaCO3,Ca2 C2 O6,Pmmn,4.343253,4.961191,5.140678,90.0,90.0,90.0,10,orthorhombic
mp-3953,CaCO3,Ca2 C2 O6,R-3c,6.35844783330001,6.3584472487227615,6.358445890476541,46.37140907204019,46.371422599020434,46.37141313904021,10,trigonal
mp-4626,CaCO3,Ca4 C4 O12,Pnma,5.016055,5.812071,8.034798,90.0,90.0,90.0,20,orthorhombic
mp-548403,CaCO3,Ca2 C2 O6,C222_1,5.418571839968997,5.418571839968997,3.78627,90.0,90.0,109.56616879749961,10,orthorhombic
mp-553939,CaCO3,Ca4 C4 O12,Pnma,4.43217633,6.59314591,8.51392996,90.0,90.0,90.0,20,orthorhombic
mp-556235,CaCO3,Ca4 C4 O12,P2_1/c,5.02851577,6.341896956736782,8.034803837194422,72.94075117142117,90.0,90.0,20,monoclinic
mp-560265,CaCO3,Ca18 C18 O54,P6_522,7.283349892046997,7.283349892046997,25.567819,90.0,90.0,119.99999901939171,90,hexagonal
mp-561412,CaCO3,Ca3 C3 O9,C2,5.040837189496701,5.040837189496701,8.744577875671357,89.35453169908246,89.35453169908246,59.596677624415086,15,monoclinic
mp-641635,CaCO3,Ca4 C4 O12,Pnma,3.633017,7.76828,10.858715,90.0,90.0,90.0,20,orthorhombic
mp-696740,CaCO3,Ca2 C2 O6,C2/c,4.91782335205851,4.91782335205851,5.473712677759127,71.71716615590691,71.71716615590691,79.70982188501856,10,monoclinic
mp-10064,SiO2,Si1 O2,Fm-3m,3.240551584238708,3.240551584238708,3.240551584238708,60.00000000000001,60.00000000000001,60.00000000000001,3,cubic
mp-1021503,SiO2,Si2 O4,Pn-3m,3.807044,3.807044,3.807044,90.0,90.0,90.0,6,cubic
mp-1071820,SiO2,Si2 O4,Ibam,5.06823948025081,5.06823948025081,5.06823948025081,127.67229375361173,124.59371306588459,79.69443472897133,6,orthorhombic
mp-10851,SiO2,Si3 O6,P6_422,5.06052279,5.0605216667359585,5.54135331,90.0,90.0,119.9999944475218,9,hexagonal
mp-10948,SiO2,Si4 O8,Pbcn,4.114123,4.527163,5.081248,90.0,90.0,90.0,12,orthorhombic
mp-11684,SiO2,Si8 O16,C2/c,7.133126164920701,7.136336831953809,7.150973354114773,60.06770040858932,75.79472257574415,60.5410257397442,24,monoclinic
mp-1179447,SiO2,Si8 O16,I4_1/amd,10.212977444984327,10.212977444984327,10.212977444984327,139.1880767523564,139.1880767523564,59.08818889338287,24,tetragonal
mp-1179454,SiO2,Si4 O8,I4/mmm,6.842487646038016,6.842487646038016,6.842487646038016,98.37747437158608,98.37747437158608,135.12208139521246,12,tetragonal
mp-1179488,SiO2,Si28 O56,C2/m,9.525160248553565,9.525160248553565,18.960420177926437,78.07555661804209,78.07555661804209,57.952284915723844,84,monoclinic
mp-1179529,SiO2,Si12 O24,P4_12_12,9.822645,9.822645,9.90612649,90.0,90.0,90.0,36,tetragonal
mp-1188220,SiO2,Si6 O12,I-43m,7.722333508665338,7.722333508665338,7.722333508665338,109.47122063449069,109.47122063449069,109.47122063449069,18,cubic
mp-1195265,SiO2,Si96 O192,P-1,20.37203938985524,19.99454506474676,13.541040180377726,89.99882124916441,89.98015501341996,90.0058126444171,288,triclinic
